     Depth,  GAM(NAT),  RES(16N),   RES(64),   NEUTRON,Outcome
276.3,1,16.8673,29.0477,771.308,Dry
276.5,21.7975,16.8212,29.347,750.462,Dry
276.8,1,16.7292,29.7461,771.308,Dry
277,1,16.6371,29.5466,833.846,Dry
277.3,11.3988,16.4529,29.4136,722.667,Dry
277.5,11.3988,16.1767,29.214,819.949,Dry
277.8,11.3988,15.8084,29.0477,792.154,Dry
278,11.3988,15.5782,29.081,684.449,Dry
278.3,21.7975,15.1178,29.081,771.308,Dry
278.5,1,14.8645,29.4801,799.103,Dry
278.8,21.7975,14.6113,29.6131,764.359,Dry
279,16.5982,14.3811,29.2473,819.949,Dry
279.3,1,14.7034,28.2828,701.82,Dry
279.5,1,14.8415,27.4181,740.038,Dry
279.8,1,15.0717,26.6199,667.077,Dry
280,1,15.1178,25.8882,701.82,Dry
280.3,1,15.1638,25.5556,639.282,Dry
280.5,1,14.7494,25.7219,712.244,Dry
280.8,1,14.4272,26.0877,781.731,Dry
281,11.3988,14.1509,26.0877,618.436,Dry
281.3,1,13.8286,26.0212,687.923,Dry
281.5,21.7975,13.6905,26.1543,639.282,Dry
281.8,1,13.5984,25.7884,608.013,Dry
282,1,13.5064,25.4891,708.769,Dry
282.3,1,13.4603,25.3561,736.564,Dry
282.5,1,13.4603,25.3561,660.128,Dry
282.8,1,13.4603,24.957,840.795,Dry
283,11.3988,13.5524,24.7574,715.718,Dry
283.3,1,13.4603,24.6909,847.744,Dry
283.5,1,13.3222,24.7574,729.615,Dry
283.8,11.3988,13.3222,24.5579,687.923,Dry
284,11.3988,13.138,24.4913,715.718,Dry
284.3,6.19939,13.2761,24.3583,819.949,Dry
284.5,1,13.138,24.4248,813,Dry
284.8,1,13.138,24.0922,639.282,Dry
285,42.5951,12.9999,24.1588,667.077,Dry
285.3,1,13.069,24.4248,694.872,Dry
285.5,1,13.138,24.2253,680.974,Dry
285.8,1,13.2301,23.8262,753.936,Dry
286,11.3988,13.5064,23.6599,840.795,Dry
286.3,11.3988,13.6675,23.4271,757.41,Dry
286.5,11.3988,13.8517,23.028,771.308,Dry
286.8,32.1963,13.9207,22.8284,632.333,Dry
287,6.19939,13.9207,23.2275,708.769,Dry
287.3,1,13.7366,23.2275,771.308,Dry
287.5,11.3988,13.7826,23.2941,778.256,Dry
287.8,1,13.7135,23.4936,729.615,Dry
288,1,13.6905,23.3606,743.513,Dry
288.3,11.3988,13.9207,23.0945,632.333,Dry
288.5,11.3988,14.0128,22.9615,694.872,Dry
288.8,11.3988,14.1509,22.8284,806.051,Dry
289,1,14.289,22.6954,701.82,Dry
289.3,21.7975,14.3351,22.5624,701.82,Dry
289.5,1,14.3811,22.4293,715.718,Dry
289.8,16.5982,14.3351,22.5624,674.026,Dry
290,11.3988,14.289,22.3628,736.564,Dry
290.3,11.3988,14.1509,22.3628,806.051,Dry
290.5,32.1963,14.0128,22.0968,868.59,Dry
290.8,6.19939,13.8747,22.0968,833.846,Dry
291,1,13.8747,21.5646,743.513,Dry
291.3,11.3988,13.6905,21.2653,826.897,Dry
291.5,1,13.4603,20.966,854.692,Dry
291.8,1,13.138,21.1655,729.615,Dry
292,1,12.5855,21.0325,646.231,Dry
292.3,11.3988,11.8949,21.6977,729.615,Dry
292.5,26.9969,11.3425,22.0968,674.026,Dry
292.8,21.7975,11.1583,21.9637,597.59,Dry
293,21.7975,11.3425,21.6311,757.41,Dry
293.3,11.3988,11.7568,21.1655,757.41,Dry
293.5,42.5951,11.987,20.5669,757.41,Dry
293.8,1,12.3553,20.5004,667.077,Dry
294,1,12.4014,20.3008,847.744,Dry
294.3,42.5951,12.5395,20.2343,611.487,Dry
294.5,21.7975,12.5395,20.8329,715.718,Dry
294.8,1,12.5855,20.7664,743.513,Dry
295,11.3988,12.4474,20.8329,840.795,Dry
295.3,1,12.3553,21.1655,861.641,Dry
295.5,1,12.0791,21.1655,757.41,Dry
295.8,1,11.987,21.2986,854.692,Dry
296,1,12.0791,21.2986,806.051,Dry
296.3,11.3988,11.5266,21.3651,674.026,Dry
296.5,1,12.1712,21.1655,833.846,Dry
296.8,32.1963,12.0791,21.1655,708.769,Dry
297,1,12.2633,21.4316,813,Dry
297.3,11.3988,12.1942,21.8972,722.667,Dry
297.5,1,12.2633,21.7642,757.41,Dry
297.8,11.3988,12.4014,21.8307,708.769,Dry
298,1,12.4014,21.7642,826.897,Dry
298.3,21.7975,12.8618,21.8972,771.308,Dry
298.5,11.3988,12.8157,22.0302,847.744,Dry
298.8,21.7975,12.9539,21.8307,778.256,Dry
299,21.7975,13.1841,21.7642,945.026,Dry
299.3,11.3988,13.138,21.6311,819.949,Dry
299.5,21.7975,13.2301,21.5646,799.103,Dry
299.8,1,13.0459,21.6311,764.359,Dry
300,21.7975,12.9078,21.8972,708.769,Dry
300.3,21.7975,12.7697,22.2963,701.82,Dry
300.5,6.19939,12.7237,22.0968,722.667,Dry
300.8,11.3988,12.6316,22.263,743.513,Dry
301,11.3988,12.6776,22.13,677.5,Dry
301.3,1,12.4935,22.0302,757.41,Dry
301.5,11.3988,12.5395,21.9637,653.18,Dry
301.8,16.5982,12.5395,22.0302,799.103,Dry
302,11.3988,12.6316,21.6977,722.667,Dry
302.3,21.7975,12.4474,21.8639,813,Dry
302.5,1,12.4935,21.7642,764.359,Dry
302.8,11.3988,12.2863,21.9637,819.949,Dry
303,1,12.2172,22.2963,729.615,Dry
303.3,6.19939,12.2633,22.2298,819.949,Dry
303.5,11.3988,12.2633,22.1633,819.949,Dry
303.8,11.3988,12.2172,22.6954,882.487,Dry
304,1,12.4014,21.6311,917.231,Dry
304.3,21.7975,12.7237,20.5669,854.692,Dry
304.5,32.1963,12.9539,19.4361,535.051,Dry
304.8,42.5951,13.2301,18.6046,542,Dry
305,32.1963,14.197,18.4716,576.744,Dry
305.3,32.1963,13.6905,18.6379,722.667,Dry
305.5,42.5951,13.0459,19.8352,833.846,Dry
305.8,11.3988,12.6316,21.099,639.282,Dry
306,6.19939,12.4474,20.8995,618.436,Dry
306.3,11.3988,12.4014,21.1988,746.987,Dry
306.5,11.3988,12.2633,20.966,621.91,Dry
306.8,1,12.1712,20.5669,611.487,Dry
307,11.3988,11.8949,20.6334,708.769,Dry
307.3,21.7975,11.5727,20.966,687.923,Dry
307.5,11.3988,11.6647,20.7664,687.923,Dry
307.8,84.1902,11.7568,20.3673,639.282,Dry
308,42.5951,11.8489,20.0347,646.231,Dry
308.3,32.1963,12.0791,19.9017,771.308,Dry
308.5,21.7975,12.0791,19.6356,771.308,Dry
308.8,21.7975,12.1251,19.7022,826.897,Dry
309,1,11.8029,19.935,799.103,Dry
309.3,1,11.6647,19.9017,653.18,Dry
309.5,11.3988,11.6187,20.0347,833.846,Dry
309.8,11.3988,11.5266,20.0347,646.231,Dry
310,16.5982,11.4806,20.1678,743.513,Dry
310.3,1,11.5727,19.5691,653.18,Dry
310.5,32.1963,11.4806,19.4694,767.833,Dry
310.8,21.7975,11.5727,19.3696,722.667,Dry
311,11.3988,11.7108,19.5026,750.462,Dry
311.3,21.7975,11.8029,19.5026,729.615,Dry
311.5,11.3988,11.8029,19.5691,778.256,Dry
311.8,11.3988,11.8489,19.7687,746.987,Dry
312,21.7975,11.8489,19.935,771.308,Dry
312.3,1,12.0791,19.7687,722.667,Dry
312.5,11.3988,12.2402,19.5026,542,Dry
312.8,11.3988,12.4014,19.6356,687.923,Dry
313,1,12.4935,19.5691,743.513,Dry
313.3,21.7975,12.5395,19.4028,771.308,Dry
313.5,21.7975,12.6776,19.5359,542,Dry
313.8,11.3988,12.4704,19.5691,722.667,Dry
314,42.5951,12.5855,19.4361,778.256,Dry
314.3,6.19939,12.3553,19.6356,715.718,Dry
314.5,21.7975,12.3093,19.8352,660.128,Dry
314.8,32.1963,12.3093,19.7022,750.462,Dry
315,1,12.2633,19.4028,715.718,Dry
315.3,1,12.2633,19.4361,722.667,Dry
315.5,1,12.2172,19.6356,799.103,Dry
315.8,11.3988,11.941,19.5359,785.205,Dry
316,32.1963,11.7568,19.8019,708.769,Dry
316.3,11.3988,11.4345,20.0347,833.846,Dry
316.5,11.3988,11.2504,20.2343,729.615,Dry
316.8,1,11.3885,20.3008,722.667,Dry
317,1,11.4806,20.0347,562.846,Dry
317.3,11.3988,11.8949,19.6689,736.564,Dry
317.5,21.7975,12.2633,19.5691,719.192,Dry
317.8,11.3988,12.6316,19.3031,632.333,Dry
318,1,12.9539,18.9705,729.615,Dry
318.3,11.3988,13.3682,19.1035,687.923,Dry
318.5,21.7975,13.5524,19.0037,896.385,Dry
318.8,1,13.7826,18.7709,736.564,Dry
319,11.3988,13.7366,18.6379,819.949,Dry
319.3,11.3988,13.115,18.7709,875.538,Dry
319.5,32.1963,12.9078,19.4361,611.487,Dry
319.8,32.1963,12.0791,19.9017,750.462,Dry
320,11.3988,11.7568,20.4338,799.103,Dry
320.3,1,11.4806,20.5004,667.077,Dry
320.5,21.7975,11.5727,20.1678,750.462,Dry
320.8,1,11.987,19.5691,764.359,Dry
321,11.3988,12.5395,19.1035,708.769,Dry
321.3,21.7975,12.8157,18.7044,576.744,Dry
321.5,32.1963,12.6776,18.8707,757.41,Dry
321.8,11.3988,12.4474,19.6356,674.026,Dry
322,11.3988,11.987,20.0347,715.718,Dry
322.3,11.3988,12.0791,20.1013,611.487,Dry
322.5,1,12.2172,19.9017,680.974,Dry
322.8,1,12.5395,19.6356,757.41,Dry
323,1,12.7237,19.4028,698.346,Dry
323.3,32.1963,12.9078,19.2365,722.667,Dry
323.5,1,12.9999,19.037,722.667,Dry
323.8,21.7975,13.0459,19.17,701.82,Dry
324,6.19939,13.138,18.9705,799.103,Dry
324.3,11.3988,13.092,18.8374,757.41,Dry
324.5,21.7975,12.6776,19.1035,792.154,Dry
324.8,11.3988,12.1712,19.3031,819.949,Dry
325,11.3988,11.5957,19.8352,694.872,Dry
325.3,11.3988,11.2043,20.3008,750.462,Dry
325.5,11.3988,11.1583,20.2343,625.385,Dry
325.8,1,11.2504,19.9017,660.128,Dry
326,1,11.2504,19.3031,809.526,Dry
326.3,63.3926,11.6187,18.8374,708.769,Dry
326.5,1,11.987,18.5049,653.18,Dry
326.8,11.3988,11.941,18.3053,632.333,Dry
327,1,12.3093,18.2388,660.128,Dry
327.3,1,12.2172,18.3386,778.256,Dry
327.5,1,12.4474,18.5714,701.82,Dry
327.8,11.3988,12.3323,18.8374,806.051,Dry
328,1,12.1712,18.7044,771.308,Dry
328.3,6.19939,12.0331,19.17,771.308,Dry
328.5,1,11.8489,19.3031,868.59,Dry
328.8,11.3988,11.7108,19.2365,903.333,Dry
329,11.3988,11.8949,18.8374,764.359,Dry
329.3,11.3988,11.8719,18.8374,910.282,Dry
329.5,32.1963,12.0791,18.5049,931.128,Dry
329.8,11.3988,12.2633,18.4384,722.667,Dry
330,21.7975,11.941,18.7044,694.872,Dry
330.3,11.3988,11.987,19.0703,576.744,Dry
330.5,21.7975,11.7568,19.4361,736.564,Dry
330.8,21.7975,11.6878,19.5026,687.923,Dry
331,11.3988,11.8949,19.3696,931.128,Dry
331.3,6.19939,11.987,19.037,840.795,Dry
331.5,1,12.3553,18.8374,896.385,Dry
331.8,11.3988,12.5855,18.7377,750.462,Dry
332,1,12.9078,18.7709,757.41,Dry
332.3,1,12.8157,18.7709,785.205,Dry
332.5,11.3988,12.9078,18.8374,729.615,Dry
332.8,1,12.8618,18.904,792.154,Dry
333,11.3988,12.9999,18.904,698.346,Dry
333.3,1,13.138,18.7709,785.205,Dry
333.5,11.3988,12.9308,18.9705,750.462,Dry
333.8,1,12.8157,18.8374,660.128,Dry
334,21.7975,12.4014,18.7044,701.82,Dry
334.3,11.3988,12.4014,18.7044,694.872,Dry
334.5,21.7975,12.2172,18.6379,569.795,Dry
334.8,21.7975,12.2172,18.4384,694.872,Dry
335,21.7975,12.5625,18.2388,715.718,Dry
335.3,21.7975,12.6776,18.3053,833.846,Dry
335.5,11.3988,12.6316,18.4384,722.667,Dry
335.8,1,12.4935,18.4384,785.205,Dry
336,1,12.4474,18.4716,823.423,Dry
336.3,16.5982,12.1251,18.5714,743.513,Dry
336.5,21.7975,11.8949,18.4384,868.59,Dry
336.8,11.3988,11.8719,18.4384,868.59,Dry
337,1,11.987,18.4384,743.513,Dry
337.3,11.3988,11.8949,18.3053,687.923,Dry
337.5,1,11.6647,18.2388,840.795,Dry
337.8,21.7975,11.6647,18.3718,726.141,Dry
338,11.3988,11.7108,18.3053,819.949,Dry
338.3,11.3988,11.8029,17.9062,868.59,Dry
338.5,21.7975,12.0791,17.9062,604.538,Dry
338.8,1,12.1251,17.6402,771.308,Dry
339,1,11.8949,17.7067,806.051,Dry
339.3,1,11.7108,17.873,785.205,Dry
339.5,1,11.4115,18.0393,694.872,Dry
339.8,1,11.2504,18.2388,833.846,Dry
340,1,11.2964,17.8397,764.359,Dry
340.3,21.7975,11.7108,17.5071,806.051,Dry
340.5,6.19939,11.6187,17.3741,910.282,Dry
340.8,1,11.3885,17.6069,854.692,Dry
341,1,11.3885,17.7732,826.897,Dry
341.3,1,11.2734,17.5736,743.513,Dry
341.5,11.3988,11.5266,17.6402,799.103,Dry
341.8,1,11.7108,17.3741,840.795,Dry
342,11.3988,11.987,17.3076,896.385,Dry
342.3,1,11.8949,17.2411,889.436,Dry
342.5,21.7975,11.8949,17.1745,701.82,Dry
342.8,1,11.7798,17.3076,625.385,Dry
343,42.5951,11.7568,17.5736,757.41,Dry
343.3,1,11.6647,17.2411,618.436,Dry
343.5,1,11.5266,16.9085,736.564,Dry
343.8,1,11.3885,16.7089,667.077,Dry
344,1,11.3885,16.842,701.82,Dry
344.3,1,11.2504,16.975,646.231,Dry
344.5,1,10.836,16.842,639.282,Dry
344.8,1,10.6519,16.7754,639.282,Dry
345,32.1963,10.6519,16.975,719.192,Dry
345.3,1,11.0202,16.6424,715.718,Dry
345.5,1,11.2734,16.3098,632.333,Dry
345.8,1,11.3885,16.1103,618.436,Dry
346,11.3988,11.3425,16.3098,722.667,Dry
346.3,1,11.3425,16.4429,743.513,Dry
346.5,11.3988,11.3425,16.4761,583.692,Dry
346.8,1,11.3425,16.3098,660.128,Dry
347,1,11.3425,16.1768,757.41,Dry
347.3,1,11.4345,16.1103,889.436,Dry
347.5,1,11.4345,15.8442,764.359,Dry
347.8,1,11.3885,16.1103,882.487,Dry
348,11.3988,11.1123,16.5094,851.218,Dry
348.3,1,10.79,16.7089,896.385,Dry
348.5,21.7975,10.767,16.7754,722.667,Dry
348.8,32.1963,10.9051,16.842,833.846,Dry
349,11.3988,11.2504,17.0415,847.744,Dry
349.3,11.3988,11.7568,16.4429,826.897,Dry
349.5,16.5982,12.0331,15.7777,826.897,Dry
349.8,11.3988,12.3784,15.8775,785.205,Dry
350,11.3988,11.8949,16.1103,806.051,Dry
350.3,11.3988,11.4806,16.3098,646.231,Dry
350.5,1,11.0662,16.842,764.359,Dry
350.8,1,10.8821,16.975,680.974,Dry
351,11.3988,11.1583,17.0748,792.154,Dry
351.3,1,11.5727,16.3431,746.987,Dry
351.5,21.7975,12.3093,15.7112,639.282,Dry
351.8,11.3988,12.2633,15.6447,826.897,Dry
352,1,12.0331,15.7777,701.82,Dry
352.3,11.3988,11.5266,16.1768,528.103,Dry
352.5,21.7975,11.0202,16.7089,670.551,Dry
352.8,11.3988,10.7439,17.2078,576.744,Dry
353,1,10.6979,17.3076,632.333,Dry
353.3,21.7975,10.7209,16.1768,576.744,Dry
353.5,21.7975,11.1123,15.046,729.615,Dry
353.8,42.5951,11.2504,14.5804,646.231,Dry
354,42.5951,10.6519,14.3476,590.641,Dry
354.3,11.3988,11.2504,14.2811,601.064,Dry
354.5,1,11.6417,14.7799,729.615,Dry
354.8,1,11.4576,15.7777,708.769,Dry
355,42.5951,11.2964,17.4406,667.077,Dry
355.3,21.7975,11.5266,17.7067,653.18,Dry
355.5,11.3988,11.8489,17.2411,771.308,Dry
355.8,1,12.5855,16.9417,611.487,Dry
356,32.1963,13.1841,16.3098,788.68,Dry
356.3,63.3926,13.4143,15.9772,750.462,Dry
356.5,21.7975,13.3222,15.6447,535.051,Dry
356.8,63.3926,12.9999,15.5116,548.949,Dry
357,37.3957,12.2172,15.5116,576.744,Dry
357.3,63.3926,11.7798,15.7777,597.59,Dry
357.5,32.1963,11.2043,15.6447,597.59,Dry
357.8,42.5951,10.9741,15.7112,510.731,Dry
358,1,10.9741,15.8442,694.872,Dry
358.3,37.3957,10.5598,16.0438,548.949,Dry
358.5,42.5951,10.5598,15.9107,736.564,Dry
358.8,11.3988,10.6519,15.179,535.051,Dry
359,63.3926,10.4677,14.4474,625.385,Dry
359.3,52.9939,10.5137,14.5139,625.385,Dry
359.5,42.5951,10.1915,14.5804,555.897,Dry
359.8,42.5951,10.0994,14.2478,611.487,Dry
360,32.1963,10.3526,14.6137,521.154,Dry
360.3,11.3988,10.1915,14.8465,639.282,Dry
360.5,1,10.0073,14.9795,580.218,Dry
360.8,1,10.2375,14.6469,576.744,Dry
361,21.7975,10.0994,14.4806,663.603,Dry
361.3,21.7975,10.4447,14.5139,555.897,Dry
361.5,21.7975,10.2375,14.1813,555.897,Dry
361.8,42.5951,10.6058,14.3143,566.32,Dry
362,52.9939,10.0073,14.5471,625.385,Dry
362.3,32.1963,10.0994,14.7134,500.308,Dry
362.5,32.1963,9.98428,14.1148,583.692,Dry
362.8,32.1963,10.5137,13.9152,653.18,Dry
363,32.1963,10.1915,14.0483,646.231,Dry
363.3,11.3988,10.0994,14.0483,555.897,Dry
363.5,32.1963,10.79,13.6492,576.744,Dry
363.8,32.1963,10.5368,13.5827,625.385,Dry
364,32.1963,10.6058,13.7157,555.897,Dry
364.3,47.7945,10.6979,13.4496,632.333,Dry
364.5,104.988,10.6519,12.4519,757.41,Dry
364.8,52.9939,10.4217,11.2546,583.692,Dry
365,63.3926,9.86918,10.3233,729.615,Dry
365.3,52.9939,8.11965,9.39212,569.795,Dry
365.5,73.7914,6.60032,8.46089,437.769,Dry
365.8,73.7914,5.67952,7.92876,375.231,Dry
366,42.5951,5.21912,7.13056,406.5,Dry
366.3,63.3926,4.89684,6.93101,528.103,Dry
366.5,47.7945,4.71267,6.83124,413.449,Dry
366.8,84.1902,5.03496,6.86449,368.282,Dry
367,68.592,5.081,6.93101,340.487,Dry
367.3,73.7914,5.97878,6.73146,496.833,Dry
367.5,11.3988,8.16569,6.73146,521.154,Dry
367.8,21.7975,10.8821,6.76472,542,Dry
368,63.3926,10.2375,7.19708,562.846,Dry
368.3,84.1902,9.91522,7.86224,548.949,Dry
368.5,52.9939,8.58005,8.32786,444.718,Dry
368.8,42.5951,6.96864,8.85999,340.487,Dry
369,73.7914,6.37012,8.9265,347.436,Dry
369.3,52.9939,6.32408,8.79347,451.667,Dry
369.5,21.7975,6.232,8.59392,326.59,Dry
369.8,94.589,5.63348,8.59392,403.026,Dry
370,104.988,5.72556,8.82673,399.551,Dry
370.3,63.3926,6.232,8.9265,500.308,Dry
370.5,63.3926,6.4622,8.79347,382.179,Dry
370.8,125.785,6.37012,8.59392,375.231,Dry
371,52.9939,6.32408,8.85999,521.154,Dry
371.3,52.9939,5.93274,8.39437,437.769,Dry
371.5,52.9939,6.232,8.59392,340.487,Dry
371.8,42.5951,6.04784,8.79347,347.436,Dry
372,32.1963,6.37012,9.19257,444.718,Dry
372.3,26.9969,6.83052,9.45863,389.128,Dry
372.5,73.7914,8.02757,8.85999,472.513,Dry
372.8,63.3926,10.0994,8.12831,583.692,Dry
373,42.5951,13.9668,7.99527,958.923,Dry
373.3,21.7975,15.6242,8.19482,764.359,Dry
373.5,84.1902,12.7006,8.5274,507.256,Dry
373.8,52.9939,10.4677,10.0573,416.923,Dry
374,89.3896,9.33971,11.5206,378.705,Dry
374.3,73.7914,8.94837,12.2523,479.462,Dry
374.5,146.583,8.99441,12.0528,396.077,Dry
374.8,73.7914,9.17857,11.5872,423.872,Dry
375,89.3896,9.96126,11.3211,555.897,Dry
375.3,125.785,9.7771,11.1215,500.308,Dry
375.5,63.3926,9.96126,11.1215,472.513,Dry
375.8,94.589,9.63898,10.7557,514.205,Dry
376,84.1902,9.50085,10.789,430.821,Dry
376.3,73.7914,9.13253,11.0218,521.154,Dry
376.5,104.988,8.62609,11.5206,528.103,Dry
376.8,63.3926,8.85629,11.7867,396.077,Dry
377,104.988,9.17857,12.1193,507.256,Dry
377.3,52.9939,9.04045,12.0528,416.923,Dry
377.5,63.3926,8.85629,12.0528,347.436,Dry
377.8,84.1902,9.31669,11.6537,382.179,Dry
378,94.589,8.55703,11.4541,361.333,Dry
378.3,63.3926,8.39589,11.7202,465.564,Dry
378.5,42.5951,8.39589,11.9863,444.718,Dry
378.8,63.3926,8.44193,12.5849,354.385,Dry
379,84.1902,8.67213,12.5849,375.231,Dry
379.3,42.5951,9.68501,12.0528,500.308,Dry
379.5,84.1902,11.8029,11.4541,472.513,Dry
379.8,1,15.8544,9.42538,740.038,Dry
380,21.7975,22.9906,8.9265,764.359,Dry
380.3,21.7975,21.8857,8.9265,712.244,Dry
380.5,52.9939,13.5524,10.9885,569.795,Dry
380.8,37.3957,10.4217,12.7179,403.026,Dry
381,21.7975,8.39589,13.6492,416.923,Dry
381.3,37.3957,8.11965,13.3166,389.128,Dry
381.5,115.387,8.90233,12.984,430.821,Dry
381.8,42.5951,9.63898,12.5849,576.744,Dry
382,11.3988,9.7771,11.9863,611.487,Dry
382.3,52.9939,11.4806,11.7202,785.205,Dry
382.5,1,12.1942,11.7867,649.705,Dry
382.8,42.5951,10.5598,12.0528,555.897,Dry
383,42.5951,8.94837,12.6514,500.308,Dry
383.3,63.3926,8.02757,12.6514,382.179,Dry
383.5,58.1933,7.47509,13.3166,472.513,Dry
383.8,32.1963,8.07361,13.7157,604.538,Dry
384,11.3988,10.0533,14.4474,562.846,Dry
384.3,42.5951,12.7006,15.6114,795.628,Dry
384.5,11.3988,13.9668,17.8397,778.256,Dry
384.8,11.3988,14.3351,20.1678,945.026,Dry
385,21.7975,14.4272,21.6311,993.667,Dry
385.3,21.7975,14.3811,21.7642,875.538,Dry
385.5,11.3988,14.1509,21.4316,840.795,Dry
385.8,1,13.5524,21.9637,889.436,Dry
386,21.7975,12.6776,22.0302,618.436,Dry
386.3,63.3926,12.4935,21.5646,389.128,Dry
386.5,52.9939,13.2071,20.9992,667.077,Dry
386.8,21.7975,14.3351,20.4338,882.487,Dry
387,26.9969,15.2559,20.8329,642.756,Dry
387.3,42.5951,15.0257,21.4316,597.59,Dry
387.5,11.3988,14.1049,22.1633,569.795,Dry
387.8,11.3988,13.5524,23.4271,618.436,Dry
388,68.592,12.9539,23.8927,667.077,Dry
388.3,52.9939,12.9308,24.1588,441.244,Dry
388.5,73.7914,12.9078,24.2918,611.487,Dry
388.8,16.5982,12.9078,23.3606,528.103,Dry
389,42.5951,13.5984,22.1633,604.538,Dry
389.3,21.7975,13.8747,21.1655,653.18,Dry
389.5,63.3926,13.6905,20.0347,479.462,Dry
389.8,21.7975,15.2098,19.4361,507.256,Dry
390,1,15.2329,17.2411,555.897,Dry
390.3,52.9939,15.9465,17.108,521.154,Dry
390.5,32.1963,15.0257,18.1058,528.103,Dry
390.8,104.988,14.289,19.1035,632.333,Dry
391,42.5951,15.2789,18.7044,496.833,Dry
391.3,84.1902,15.6702,15.4451,555.897,Dry
391.5,89.3896,16.7292,15.9772,535.051,Dry
391.8,52.9939,15.3019,16.1103,687.923,Dry
392,37.3957,16.3148,15.9772,590.641,Dry
392.3,32.1963,16.1997,15.9107,514.205,Dry
392.5,73.7914,14.8876,16.7089,521.154,Dry
392.8,73.7914,13.8056,18.6046,521.154,Dry
393,63.3926,12.9999,17.5736,472.513,Dry
393.3,42.5951,12.3093,16.6424,552.423,Dry
393.5,84.1902,11.7108,16.1768,451.667,Dry
393.8,58.1933,11.4345,16.1103,451.667,Dry
394,11.3988,11.5266,16.4429,625.385,Dry
394.3,32.1963,12.0791,16.7754,493.359,Dry
394.5,42.5951,12.2172,17.1745,674.026,Dry
394.8,42.5951,12.2633,17.7732,507.256,Dry
395,63.3926,11.8949,18.904,465.564,Dry
395.3,94.589,12.0331,19.2365,493.359,Dry
395.5,94.589,13.9207,19.7687,562.846,Dry
395.8,11.3988,14.6574,20.4338,597.59,Dry
396,37.3957,16.0846,21.1655,701.82,Dry
396.3,73.7914,17.1435,22.0302,632.333,Dry
396.5,115.387,17.9722,21.8972,611.487,Dry
396.8,104.988,17.9262,22.4626,771.308,Dry
397,21.7975,17.8802,22.4293,806.051,Dry
397.3,63.3926,17.2126,22.7619,823.423,Dry
397.5,32.1963,16.2688,23.161,806.051,Dry
397.8,21.7975,15.1638,23.3273,757.41,Dry
398,1,14.197,23.4936,660.128,Dry
398.3,6.19939,13.7366,23.3606,750.462,Dry
398.5,1,13.3682,23.2275,833.846,Dry
398.8,42.5951,13.3682,22.895,854.692,Dry
399,1,13.2301,22.3628,743.513,Dry
399.3,6.19939,13.2301,22.0302,590.641,Dry
399.5,11.3988,13.4603,21.6311,680.974,Dry
399.8,11.3988,13.7366,21.4981,694.872,Dry
400,21.7975,13.9207,21.3651,656.654,Dry
400.3,32.1963,13.6905,21.6311,660.128,Dry
400.5,1,13.7135,21.5979,660.128,Dry
400.8,21.7975,14.0128,21.4316,618.436,Dry
401,63.3926,14.8876,21.0325,743.513,Dry
401.3,84.1902,15.5091,20.8329,562.846,Dry
401.5,115.387,16.8212,20.5669,528.103,Dry
401.8,21.7975,17.3277,20.5004,604.538,Dry
402,21.7975,17.0514,21.099,639.282,Dry
402.3,42.5951,16.7982,21.3651,653.18,Dry
402.5,104.988,16.545,21.3651,555.897,Dry
402.8,120.586,17.0514,21.1655,535.051,Dry
403,42.5951,17.1435,21.2986,625.385,Dry
403.3,37.3957,16.499,20.7664,576.744,Dry
403.5,52.9939,15.8084,20.4338,792.154,Dry
403.8,26.9969,15.2559,20.3673,750.462,Dry
404,63.3926,14.0588,20.1678,701.82,Dry
404.3,32.1963,13.4143,20.0347,750.462,Dry
404.5,32.1963,12.6086,19.9017,701.82,Dry
404.8,1,11.987,19.9017,653.18,Dry
405,11.3988,11.4806,19.8685,663.603,Dry
405.3,1,11.4345,19.5026,680.974,Dry
405.5,1,11.5727,18.9705,639.282,Dry
405.8,1,11.8029,18.5714,736.564,Dry
406,6.19939,11.8949,18.5049,750.462,Dry
406.3,32.1963,11.987,18.3053,806.051,Dry
406.5,6.19939,11.987,18.4384,750.462,Dry
406.8,21.7975,12.0791,18.2055,590.641,Dry
407,1,12.3093,17.9727,785.205,Dry
407.3,16.5982,12.7697,17.8397,663.603,Dry
